User ID,Venue ID,Latitude,Longitude,Check-in Time,Day,Previous Venue ID,Venue Name,Day_Num,Day_Sin,Day_Cos,Venue Category_coffee shop,Venue Category_dessert shop,Venue Category_entertainment,Venue Category_hotel,Venue Category_lounge,Venue Category_other,Venue Category_park,Venue Category_plaza,Venue Category_restaurant,Venue Category_shopping,Venue Category_spa,Venue Category_sports facility,Venue Category_unknown
1,V231,24.767113,46.659294,2021-01-05 22:31:00,Tuesday,,margherita,1.0,0.7818314824680298,0.6234898018587336,False,False,False,False,False,False,False,False,True,False,False,False,False
1,V67,24.772194,46.698083,2021-01-05 23:52:00,Tuesday,V231,riverwalk,1.0,0.7818314824680298,0.6234898018587336,False,False,False,False,False,False,False,True,False,False,False,False,False
1,V232,24.790579,46.612207,2021-01-06 23:59:00,Wednesday,V67,amc cinemas,2.0,0.9749279121818236,-0.22252093395631434,False,False,True,False,False,False,False,False,False,False,False,False,False
1,V233,24.760748,46.716174,2021-01-09 20:12:00,Saturday,V232,third caf,5.0,-0.9749279121818236,-0.2225209339563146,True,False,False,False,False,False,False,False,False,False,False,False,False
1,V234,24.741122,46.636161,2021-01-27 11:39:00,Wednesday,V233,caribou coffee,2.0,0.9749279121818236,-0.22252093395631434,True,False,False,False,False,False,False,False,False,False,False,False,False
1,V233,24.760748,46.716174,2021-01-27 15:16:00,Wednesday,V234,third caf,2.0,0.9749279121818236,-0.22252093395631434,True,False,False,False,False,False,False,False,False,False,False,False,False
1,V108,24.739278,46.627694,2021-01-27 16:38:00,Wednesday,V233,u walk,2.0,0.9749279121818236,-0.22252093395631434,False,False,False,False,False,False,False,True,False,False,False,False,False
1,V235,24.736002,46.631105,2021-03-25 22:51:00,Thursday,V108,kahwet azmi,3.0,0.43388373911755823,-0.900968867902419,False,False,False,False,False,False,False,False,True,False,False,False,False
1,V214,24.663909,46.683211,2021-04-18 00:04:00,Sunday,V235,starbucks coffee,6.0,-0.7818314824680299,0.6234898018587334,True,False,False,False,False,False,False,False,False,False,False,False,False
1,V215,24.765366,46.641621,2021-04-18 00:52:00,Sunday,V214,king abdullah financial district,6.0,-0.7818314824680299,0.6234898018587334,False,False,False,False,False,True,False,False,False,False,False,False,False
1,V216,24.759619,46.6395,2021-04-18 01:09:00,Sunday,V215,salt campsite,6.0,-0.7818314824680299,0.6234898018587334,False,False,False,False,False,False,False,False,True,False,False,False,False
1,V217,24.730288,46.590478,2021-05-16 23:37:00,Sunday,V216,eclat,6.0,-0.7818314824680299,0.6234898018587334,True,False,False,False,False,False,False,False,False,False,False,False,False
1,V204,24.690694,46.684528,2021-05-17 00:04:00,Monday,V217,lpm,0.0,0.0,1.0,False,False,False,False,False,False,False,False,True,False,False,False,False
1,V218,24.707578,46.708657,2021-06-15 22:07:00,Tuesday,V204,toqa,1.0,0.7818314824680298,0.6234898018587336,True,False,False,False,False,False,False,False,False,False,False,False,False
1,V219,24.72127,46.656313,2021-08-02 20:40:00,Monday,V218,tolat etr,0.0,0.0,1.0,False,False,False,False,False,False,False,False,False,True,False,False,False
1,V220,24.804064,46.67406,2021-09-15 23:35:00,Wednesday,V219,ratio,2.0,0.9749279121818236,-0.22252093395631434,True,False,False,False,False,False,False,False,False,False,False,False,False
1,V221,24.795269,46.655149,2021-10-27 21:11:00,Wednesday,V220,the library club,2.0,0.9749279121818236,-0.22252093395631434,False,False,True,False,False,False,False,False,False,False,False,False,False
1,V173,24.690222,46.685028,2021-11-01 18:02:00,Monday,V221,entrecote cafe de paris,0.0,0.0,1.0,False,False,False,False,False,False,False,False,True,False,False,False,False
1,V222,24.689708,46.684999,2021-11-01 18:45:00,Monday,V173,mamo michelangelo,0.0,0.0,1.0,False,False,False,False,False,False,False,False,True,False,False,False,False
1,V224,24.765479,46.603982,2022-01-07 22:04:00,Friday,V223,toqa coffee,4.0,-0.433883739117558,-0.9009688679024191,True,False,False,False,False,False,False,False,False,False,False,False,False
1,V225,24.704074,46.706258,2022-01-31 20:40:00,Monday,V224,billionaire,0.0,0.0,1.0,False,False,False,False,False,False,False,False,True,False,False,False,False
1,V226,24.835229,46.729585,2022-02-01 14:33:00,Tuesday,V225,leap22,1.0,0.7818314824680298,0.6234898018587336,False,False,False,False,False,True,False,False,False,False,False,False,False
1,V227,24.79102,46.611071,2022-02-03 17:46:00,Thursday,V226,burger boutique,3.0,0.43388373911755823,-0.900968867902419,False,False,False,False,False,False,False,False,True,False,False,False,False
1,V228,24.816879,46.665885,2022-02-16 19:54:00,Wednesday,V227,richoux,2.0,0.9749279121818236,-0.22252093395631434,False,False,False,False,False,False,False,False,True,False,False,False,False
1,V229,24.750282,46.623683,2022-03-17 21:12:00,Thursday,V228,blue garden,3.0,0.43388373911755823,-0.900968867902419,False,False,False,False,False,False,False,False,True,False,False,False,False
1,V230,24.738741,46.635276,2022-03-30 10:01:00,Wednesday,V229,crowne plaza,2.0,0.9749279121818236,-0.22252093395631434,False,False,False,True,False,False,False,False,False,False,False,False,False
1,V08,24.85102,46.673805,2022-05-09 08:15:00,Monday,V230,starbucks coffee,0.0,0.0,1.0,True,False,False,False,False,False,False,False,False,False,False,False,False
1,V08,24.85102,46.673805,2022-05-12 08:24:00,Friday,V08,starbucks coffee,4.0,-0.433883739117558,-0.9009688679024191,True,False,False,False,False,False,False,False,False,False,False,False,False
1,V08,24.85102,46.673805,2022-05-23 07:11:00,Monday,V08,starbucks coffee,0.0,0.0,1.0,True,False,False,False,False,False,False,False,False,False,False,False,False
1,V07,24.888484,46.61886,2022-06-04 19:46:00,Saturday,V08,veloce,5.0,-0.9749279121818236,-0.2225209339563146,True,False,False,False,False,False,False,False,False,False,False,False,False
1,V06,24.958437,46.702795,2022-07-30 11:59:00,Saturday,V07,king khalid international airport,5.0,-0.9749279121818236,-0.2225209339563146,False,False,False,False,False,True,False,False,False,False,False,False,False
1,V05,24.858572,46.646492,2022-07-31 13:47:00,Sunday,V06,starbucks coffee,6.0,-0.7818314824680299,0.6234898018587334,True,False,False,False,False,False,False,False,False,False,False,False,False
1,V03,24.722389,46.678917,2022-08-01 20:39:00,Monday,V05,shazin,0.0,0.0,1.0,False,False,False,False,False,False,False,False,False,True,False,False,False
